,Metropolitan,County,Total Law Enforcement Employees,Total Officers,Total Civilians,State
53,,Wyoming,31.0,30.0,1.0,NEW YORK
0,True,Carbon,17.0,10.0,7.0,MONTANA
1,,Cascade,143.0,35.0,108.0,MONTANA
2,,Golden Valley,2.0,2.0,0.0,MONTANA
3,,Missoula,184.0,52.0,132.0,MONTANA
4,,Yellowstone,158.0,51.0,107.0,MONTANA
5,False,Beaverhead,39.0,11.0,28.0,MONTANA
6,,Blaine,14.0,8.0,6.0,MONTANA
7,,Broadwater,28.0,10.0,18.0,MONTANA
8,,Carter,3.0,3.0,0.0,MONTANA
9,,Chouteau,22.0,9.0,13.0,MONTANA
10,,Custer,17.0,6.0,11.0,MONTANA
11,,Daniels,4.0,2.0,2.0,MONTANA
12,,Dawson,51.0,6.0,45.0,MONTANA
13,,Deer Lodge,28.0,19.0,9.0,MONTANA
14,,Fallon,9.0,4.0,5.0,MONTANA
15,,Fergus,21.0,8.0,13.0,MONTANA
16,,Flathead,114.0,56.0,58.0,MONTANA
17,,Gallatin,110.0,55.0,55.0,MONTANA
18,,Garfield,4.0,3.0,1.0,MONTANA
19,,Glacier,25.0,13.0,12.0,MONTANA
20,,Granite,6.0,6.0,0.0,MONTANA
21,,Hill,30.0,12.0,18.0,MONTANA
22,,Jefferson,24.0,12.0,12.0,MONTANA
23,,Judith Basin,5.0,4.0,1.0,MONTANA
24,,Lake,45.0,22.0,23.0,MONTANA
25,,Lewis and Clark,79.0,45.0,34.0,MONTANA
26,,Liberty,7.0,5.0,2.0,MONTANA
27,,Madison,24.0,11.0,13.0,MONTANA
28,,McCone,10.0,4.0,6.0,MONTANA
29,,Meagher,9.0,3.0,6.0,MONTANA
30,,Mineral,17.0,7.0,10.0,MONTANA
31,,Musselshell,10.0,9.0,1.0,MONTANA
32,,Park,25.0,15.0,10.0,MONTANA
33,,Phillips,11.0,7.0,4.0,MONTANA
34,,Pondera,10.0,9.0,1.0,MONTANA
35,,Powder River,4.0,4.0,0.0,MONTANA
36,,Powell,10.0,5.0,5.0,MONTANA
37,,Prairie,4.0,3.0,1.0,MONTANA
38,,Ravalli,82.0,31.0,51.0,MONTANA
39,,Richland,39.0,11.0,28.0,MONTANA
40,,Roosevelt,41.0,17.0,24.0,MONTANA
41,,Rosebud,24.0,12.0,12.0,MONTANA
42,,Sanders,19.0,12.0,7.0,MONTANA
43,,Sheridan,10.0,8.0,2.0,MONTANA
44,,Silver Bow,101.0,51.0,50.0,MONTANA
45,,Stillwater,17.0,9.0,8.0,MONTANA
46,,Sweet Grass,13.0,7.0,6.0,MONTANA
47,,Teton,12.0,9.0,3.0,MONTANA
48,,Toole,20.0,12.0,8.0,MONTANA
49,,Treasure,2.0,2.0,0.0,MONTANA
50,,Valley,23.0,7.0,16.0,MONTANA
51,,Wheatland,11.0,6.0,5.0,MONTANA
0,True,Allen,299.0,127.0,172.0,INDIANA
1,,Brown,40.0,14.0,26.0,INDIANA
2,,Clark,151.0,41.0,110.0,INDIANA
3,,Floyd,112.0,32.0,80.0,INDIANA
4,,Hancock,73.0,39.0,34.0,INDIANA
5,,Howard,133.0,34.0,99.0,INDIANA
6,,Newton,38.0,16.0,22.0,INDIANA
7,,Shelby,93.0,32.0,61.0,INDIANA
8,,Vigo,42.0,39.0,3.0,INDIANA
9,,Warrick,78.0,39.0,39.0,INDIANA
10,,Wells,16.0,16.0,0.0,INDIANA
11,False,Blackford,30.0,9.0,21.0,INDIANA
12,,Fulton,27.0,12.0,15.0,INDIANA
13,,Gibson,41.0,16.0,25.0,INDIANA
14,,Greene,45.0,18.0,27.0,INDIANA
15,,Jay,41.0,13.0,28.0,INDIANA
16,,Steuben,54.0,21.0,33.0,INDIANA
17,,Tipton,33.0,13.0,20.0,INDIANA
18,,Wabash,42.0,16.0,26.0,INDIANA
0,True,Laramie,155.0,50.0,105.0,WYOMING
1,,Natrona,163.0,60.0,103.0,WYOMING
2,False,Albany,43.0,40.0,3.0,WYOMING
3,,Big Horn,27.0,12.0,15.0,WYOMING
4,,Campbell,66.0,43.0,23.0,WYOMING
5,,Carbon,33.0,17.0,16.0,WYOMING
6,,Crook,21.0,15.0,6.0,WYOMING
7,,Fremont,36.0,33.0,3.0,WYOMING
8,,Hot Springs,12.0,10.0,2.0,WYOMING
9,,Johnson,31.0,29.0,2.0,WYOMING
10,,Lincoln,42.0,26.0,16.0,WYOMING
11,,Park,50.0,18.0,32.0,WYOMING
12,,Platte,13.0,10.0,3.0,WYOMING
13,,Sheridan,57.0,38.0,19.0,WYOMING
14,,Sublette,32.0,28.0,4.0,WYOMING
15,,Sweetwater,99.0,43.0,56.0,WYOMING
16,,Uinta,48.0,35.0,13.0,WYOMING
17,,Washakie,16.0,14.0,2.0,WYOMING
18,,Weston,8.0,8.0,0.0,WYOMING
0,True,Carson City,93.0,93.0,0.0,NEVADA
1,,Storey,27.0,25.0,2.0,NEVADA
2,,Washoe,691.0,407.0,284.0,NEVADA
3,False,Churchill,45.0,39.0,6.0,NEVADA
4,,Douglas,98.0,98.0,0.0,NEVADA
5,,Elko,79.0,66.0,13.0,NEVADA
6,,Esmeralda,17.0,12.0,5.0,NEVADA
7,,Eureka,14.0,8.0,6.0,NEVADA
8,,Humboldt,56.0,35.0,21.0,NEVADA
9,,Lander,21.0,21.0,0.0,NEVADA
10,,Lincoln,30.0,23.0,7.0,NEVADA
11,,Mineral,23.0,17.0,6.0,NEVADA
12,,Nye,123.0,95.0,28.0,NEVADA
13,,Pershing,16.0,13.0,3.0,NEVADA
14,,White Pine,31.0,25.0,6.0,NEVADA
0,True,Rockingham,51.0,26.0,25.0,NEW HAMPSHIRE
1,,Strafford,29.0,15.0,14.0,NEW HAMPSHIRE
2,False,Carroll,22.0,12.0,10.0,NEW HAMPSHIRE
3,,Cheshire,22.0,9.0,13.0,NEW HAMPSHIRE
4,,Grafton,23.0,9.0,14.0,NEW HAMPSHIRE
5,,Merrimack,34.0,20.0,14.0,NEW HAMPSHIRE
0,True,Adams,14.0,11.0,3.0,PENNSYLVANIA
1,,Allegheny,186.0,153.0,33.0,PENNSYLVANIA
2,,Allegheny County Police Department,273.0,215.0,58.0,PENNSYLVANIA
3,,Beaver,27.0,24.0,3.0,PENNSYLVANIA
4,,Berks,108.0,97.0,11.0,PENNSYLVANIA
5,,Blair,29.0,25.0,4.0,PENNSYLVANIA
6,,Butler,30.0,27.0,3.0,PENNSYLVANIA
7,,Cumberland,34.0,28.0,6.0,PENNSYLVANIA
8,,Erie,45.0,38.0,7.0,PENNSYLVANIA
9,,Franklin,23.0,18.0,5.0,PENNSYLVANIA
10,,Lancaster,54.0,48.0,6.0,PENNSYLVANIA
11,,Lycoming,23.0,17.0,6.0,PENNSYLVANIA
12,,Mercer,19.0,15.0,4.0,PENNSYLVANIA
13,,Monroe,43.0,26.0,17.0,PENNSYLVANIA
14,,Montgomery,130.0,104.0,26.0,PENNSYLVANIA
15,,Northampton,66.0,60.0,6.0,PENNSYLVANIA
16,,Pike,23.0,19.0,4.0,PENNSYLVANIA
17,,Washington,32.0,29.0,3.0,PENNSYLVANIA
18,,Westmoreland,61.0,53.0,8.0,PENNSYLVANIA
19,,Wyoming,5.0,3.0,2.0,PENNSYLVANIA
20,,York,104.0,104.0,0.0,PENNSYLVANIA
21,False,Bedford,11.0,10.0,1.0,PENNSYLVANIA
22,,Bradford,11.0,9.0,2.0,PENNSYLVANIA
23,,Clarion,11.0,8.0,3.0,PENNSYLVANIA
24,,Elk,6.0,5.0,1.0,PENNSYLVANIA
25,,Greene,10.0,8.0,2.0,PENNSYLVANIA
26,,Indiana,19.0,16.0,3.0,PENNSYLVANIA
27,,Jefferson,9.0,8.0,1.0,PENNSYLVANIA
28,,Lawrence,23.0,18.0,5.0,PENNSYLVANIA
29,,Schuylkill,19.0,15.0,4.0,PENNSYLVANIA
30,,Snyder,7.0,7.0,0.0,PENNSYLVANIA
31,,Tioga,8.0,6.0,2.0,PENNSYLVANIA
32,,Union,9.0,8.0,1.0,PENNSYLVANIA
33,,Warren,12.0,10.0,2.0,PENNSYLVANIA
34,,Wayne,16.0,13.0,3.0,PENNSYLVANIA
0,True,Chittenden,17.0,15.0,2.0,VERMONT
1,,Franklin,9.0,9.0,0.0,VERMONT
2,,Grand Isle,1.0,1.0,0.0,VERMONT
3,False,Addison,6.0,6.0,0.0,VERMONT
4,,Bennington,15.0,12.0,3.0,VERMONT
5,,Caledonia,12.0,9.0,3.0,VERMONT
6,,Essex,2.0,2.0,0.0,VERMONT
7,,Lamoille,24.0,11.0,13.0,VERMONT
8,,Orange,16.0,10.0,6.0,VERMONT
9,,Orleans,9.0,7.0,2.0,VERMONT
10,,Rutland,16.0,12.0,4.0,VERMONT
11,,Washington,13.0,11.0,2.0,VERMONT
12,,Windham,18.0,13.0,5.0,VERMONT
13,,Windsor,14.0,13.0,1.0,VERMONT
0,True,Aiken,246.0,136.0,110.0,SOUTH CAROLINA
1,,Anderson,390.0,220.0,170.0,SOUTH CAROLINA
2,,Beaufort,317.0,219.0,98.0,SOUTH CAROLINA
3,,Berkeley,268.0,150.0,118.0,SOUTH CAROLINA
4,,Calhoun,32.0,30.0,2.0,SOUTH CAROLINA
5,,Charleston,722.0,267.0,455.0,SOUTH CAROLINA
6,,Chester,119.0,49.0,70.0,SOUTH CAROLINA
7,,Darlington,132.0,61.0,71.0,SOUTH CAROLINA
8,,Dorchester,271.0,140.0,131.0,SOUTH CAROLINA
9,,Edgefield,64.0,37.0,27.0,SOUTH CAROLINA
10,,Fairfield,51.0,46.0,5.0,SOUTH CAROLINA
11,,Florence,229.0,190.0,39.0,SOUTH CAROLINA
12,,Greenville,536.0,439.0,97.0,SOUTH CAROLINA
13,,Horry,365.0,71.0,294.0,SOUTH CAROLINA
14,,Horry County Police Department,284.0,242.0,42.0,SOUTH CAROLINA
15,,Jasper,36.0,31.0,5.0,SOUTH CAROLINA
16,,Kershaw,72.0,59.0,13.0,SOUTH CAROLINA
17,,Lancaster,164.0,112.0,52.0,SOUTH CAROLINA
18,,Laurens,70.0,63.0,7.0,SOUTH CAROLINA
19,,Lexington,437.0,281.0,156.0,SOUTH CAROLINA
20,,Pickens,135.0,114.0,21.0,SOUTH CAROLINA
21,,Richland,597.0,493.0,104.0,SOUTH CAROLINA
22,,Saluda,62.0,21.0,41.0,SOUTH CAROLINA
23,,Spartanburg,343.0,314.0,29.0,SOUTH CAROLINA
24,,Sumter,135.0,109.0,26.0,SOUTH CAROLINA
25,,Union,33.0,30.0,3.0,SOUTH CAROLINA
26,,York,315.0,158.0,157.0,SOUTH CAROLINA
27,False,Abbeville,61.0,29.0,32.0,SOUTH CAROLINA
28,,Allendale,14.0,12.0,2.0,SOUTH CAROLINA
29,,Bamberg,13.0,13.0,0.0,SOUTH CAROLINA
30,,Barnwell,64.0,28.0,36.0,SOUTH CAROLINA
31,,Cherokee,92.0,55.0,37.0,SOUTH CAROLINA
32,,Chesterfield,55.0,44.0,11.0,SOUTH CAROLINA
33,,Clarendon,59.0,52.0,7.0,SOUTH CAROLINA
34,,Colleton,109.0,47.0,62.0,SOUTH CAROLINA
35,,Dillon,47.0,36.0,11.0,SOUTH CAROLINA
36,,Georgetown,164.0,76.0,88.0,SOUTH CAROLINA
37,,Greenwood,155.0,79.0,76.0,SOUTH CAROLINA
38,,Hampton,40.0,33.0,7.0,SOUTH CAROLINA
39,,Marion,59.0,32.0,27.0,SOUTH CAROLINA
40,,Marlboro,25.0,21.0,4.0,SOUTH CAROLINA
41,,McCormick,34.0,16.0,18.0,SOUTH CAROLINA
42,,Newberry,102.0,51.0,51.0,SOUTH CAROLINA
43,,Oconee,163.0,91.0,72.0,SOUTH CAROLINA
44,,Orangeburg,121.0,85.0,36.0,SOUTH CAROLINA
45,,Williamsburg,71.0,29.0,42.0,SOUTH CAROLINA
0,True,Brown,320.0,158.0,162.0,WISCONSIN
1,,Calumet,53.0,25.0,28.0,WISCONSIN
2,,Chippewa,70.0,51.0,19.0,WISCONSIN
3,,Columbia,109.0,41.0,68.0,WISCONSIN
4,,Dane,533.0,435.0,98.0,WISCONSIN
5,,Douglas,77.0,29.0,48.0,WISCONSIN
6,,Eau Claire,109.0,41.0,68.0,WISCONSIN
7,,Fond du Lac,122.0,58.0,64.0,WISCONSIN
8,,Green,44.0,32.0,12.0,WISCONSIN
9,,Iowa,37.0,20.0,17.0,WISCONSIN
10,,Kenosha,330.0,119.0,211.0,WISCONSIN
11,,Kewaunee,34.0,32.0,2.0,WISCONSIN
12,,La Crosse,112.0,42.0,70.0,WISCONSIN
13,,Marathon,180.0,68.0,112.0,WISCONSIN
14,,Milwaukee,615.0,298.0,317.0,WISCONSIN
15,,Oconto,58.0,26.0,32.0,WISCONSIN
16,,Outagamie,179.0,73.0,106.0,WISCONSIN
17,,Ozaukee,99.0,78.0,21.0,WISCONSIN
18,,Pierce,56.0,48.0,8.0,WISCONSIN
19,,Racine,214.0,136.0,78.0,WISCONSIN
20,,Rock,208.0,99.0,109.0,WISCONSIN
21,,Sheboygan,181.0,71.0,110.0,WISCONSIN
22,,St. Croix,88.0,80.0,8.0,WISCONSIN
23,,Washington,167.0,70.0,97.0,WISCONSIN
24,,Waukesha,356.0,158.0,198.0,WISCONSIN
25,,Winnebago,186.0,128.0,58.0,WISCONSIN
26,False,Adams,58.0,28.0,30.0,WISCONSIN
27,,Ashland,42.0,33.0,9.0,WISCONSIN
28,,Barron,68.0,31.0,37.0,WISCONSIN
29,,Bayfield,43.0,20.0,23.0,WISCONSIN
30,,Buffalo,25.0,11.0,14.0,WISCONSIN
31,,Burnett,33.0,17.0,16.0,WISCONSIN
32,,Clark,47.0,25.0,22.0,WISCONSIN
33,,Crawford,29.0,23.0,6.0,WISCONSIN
34,,Dodge,169.0,69.0,100.0,WISCONSIN
35,,Door,65.0,52.0,13.0,WISCONSIN
36,,Dunn,55.0,27.0,28.0,WISCONSIN
37,,Florence,20.0,12.0,8.0,WISCONSIN
38,,Forest,37.0,17.0,20.0,WISCONSIN
39,,Grant,50.0,28.0,22.0,WISCONSIN
40,,Green Lake,41.0,16.0,25.0,WISCONSIN
41,,Iron,20.0,20.0,0.0,WISCONSIN
42,,Jackson,49.0,23.0,26.0,WISCONSIN
43,,Jefferson,115.0,93.0,22.0,WISCONSIN
44,,Juneau,53.0,41.0,12.0,WISCONSIN
45,,Lafayette,32.0,31.0,1.0,WISCONSIN
46,,Langlade,40.0,19.0,21.0,WISCONSIN
47,,Lincoln,65.0,30.0,35.0,WISCONSIN
48,,Manitowoc,94.0,63.0,31.0,WISCONSIN
49,,Marinette,63.0,32.0,31.0,WISCONSIN
50,,Marquette,42.0,42.0,0.0,WISCONSIN
51,,Menominee,10.0,9.0,1.0,WISCONSIN
52,,Monroe,52.0,23.0,29.0,WISCONSIN
53,,Oneida,86.0,37.0,49.0,WISCONSIN
54,,Pepin,18.0,7.0,11.0,WISCONSIN
55,,Polk,70.0,28.0,42.0,WISCONSIN
56,,Portage,101.0,48.0,53.0,WISCONSIN
57,,Price,30.0,20.0,10.0,WISCONSIN
58,,Richland,32.0,32.0,0.0,WISCONSIN
59,,Rusk,30.0,27.0,3.0,WISCONSIN
60,,Sauk,143.0,47.0,96.0,WISCONSIN
61,,Sawyer,48.0,26.0,22.0,WISCONSIN
62,,Shawano,111.0,39.0,72.0,WISCONSIN
63,,Taylor,39.0,18.0,21.0,WISCONSIN
64,,Trempealeau,55.0,25.0,30.0,WISCONSIN
65,,Vernon,44.0,24.0,20.0,WISCONSIN
66,,Vilas,70.0,35.0,35.0,WISCONSIN
67,,Walworth,201.0,80.0,121.0,WISCONSIN
68,,Washburn,22.0,14.0,8.0,WISCONSIN
69,,Waupaca,101.0,40.0,61.0,WISCONSIN
70,,Waushara,54.0,24.0,30.0,WISCONSIN
71,,Wood,70.0,40.0,30.0,WISCONSIN
0,True,Anderson,169.0,60.0,109.0,TENNESSEE
1,,Blount,281.0,152.0,129.0,TENNESSEE
2,,Bradley,219.0,115.0,104.0,TENNESSEE
3,,Campbell,92.0,47.0,45.0,TENNESSEE
4,,Cannon,36.0,18.0,18.0,TENNESSEE
5,,Carter,127.0,124.0,3.0,TENNESSEE
6,,Cheatham,79.0,39.0,40.0,TENNESSEE
7,,Chester,46.0,15.0,31.0,TENNESSEE
8,,Crockett,36.0,17.0,19.0,TENNESSEE
9,,Dickson,133.0,65.0,68.0,TENNESSEE
10,,Fayette,87.0,44.0,43.0,TENNESSEE
11,,Grainger,45.0,22.0,23.0,TENNESSEE
12,,Hamblen,106.0,41.0,65.0,TENNESSEE
13,,Hamilton,403.0,164.0,239.0,TENNESSEE
14,,Hartsville/Trousdale,41.0,20.0,21.0,TENNESSEE
15,,Hawkins,119.0,59.0,60.0,TENNESSEE
16,,Hickman,47.0,24.0,23.0,TENNESSEE
17,,Jefferson,104.0,53.0,51.0,TENNESSEE
18,,Knox,954.0,433.0,521.0,TENNESSEE
19,,Loudon,78.0,47.0,31.0,TENNESSEE
20,,Macon,54.0,27.0,27.0,TENNESSEE
21,,Madison,262.0,110.0,152.0,TENNESSEE
22,,Marion,56.0,28.0,28.0,TENNESSEE
23,,Maury,158.0,83.0,75.0,TENNESSEE
24,,Montgomery,350.0,105.0,245.0,TENNESSEE
25,,Morgan,44.0,21.0,23.0,TENNESSEE
26,,Polk,49.0,22.0,27.0,TENNESSEE
27,,Roane,76.0,43.0,33.0,TENNESSEE
28,,Robertson,152.0,51.0,101.0,TENNESSEE
29,,Rutherford,426.0,228.0,198.0,TENNESSEE
30,,Sequatchie,44.0,23.0,21.0,TENNESSEE
31,,Shelby,1809.0,613.0,1196.0,TENNESSEE
32,,Smith,58.0,26.0,32.0,TENNESSEE
33,,Sullivan,274.0,123.0,151.0,TENNESSEE
34,,Sumner,285.0,96.0,189.0,TENNESSEE
35,,Tipton,99.0,60.0,39.0,TENNESSEE
36,,Unicoi,40.0,24.0,16.0,TENNESSEE
37,,Union,51.0,31.0,20.0,TENNESSEE
38,,Washington,220.0,97.0,123.0,TENNESSEE
39,,Williamson,249.0,160.0,89.0,TENNESSEE
40,,Wilson,250.0,114.0,136.0,TENNESSEE
41,False,Bedford,90.0,40.0,50.0,TENNESSEE
42,,Benton,60.0,20.0,40.0,TENNESSEE
43,,Bledsoe,40.0,15.0,25.0,TENNESSEE
44,,Carroll,65.0,24.0,41.0,TENNESSEE
45,,Claiborne,110.0,38.0,72.0,TENNESSEE
46,,Clay,26.0,15.0,11.0,TENNESSEE
47,,Cocke,71.0,38.0,33.0,TENNESSEE
48,,Coffee,130.0,47.0,83.0,TENNESSEE
49,,Cumberland,109.0,52.0,57.0,TENNESSEE
50,,Decatur,28.0,13.0,15.0,TENNESSEE
51,,DeKalb,48.0,26.0,22.0,TENNESSEE
52,,Dyer,88.0,36.0,52.0,TENNESSEE
53,,Fentress,45.0,18.0,27.0,TENNESSEE
54,,Franklin,71.0,43.0,28.0,TENNESSEE
55,,Gibson,84.0,37.0,47.0,TENNESSEE
56,,Giles,66.0,32.0,34.0,TENNESSEE
57,,Greene,155.0,59.0,96.0,TENNESSEE
58,,Grundy,38.0,16.0,22.0,TENNESSEE
59,,Hancock,34.0,12.0,22.0,TENNESSEE
60,,Hardeman,68.0,28.0,40.0,TENNESSEE
61,,Hardin,50.0,22.0,28.0,TENNESSEE
62,,Haywood,43.0,19.0,24.0,TENNESSEE
63,,Henderson,71.0,32.0,39.0,TENNESSEE
64,,Henry,67.0,34.0,33.0,TENNESSEE
65,,Houston,25.0,11.0,14.0,TENNESSEE
66,,Humphreys,40.0,23.0,17.0,TENNESSEE
67,,Jackson,37.0,14.0,23.0,TENNESSEE
68,,Johnson,42.0,19.0,23.0,TENNESSEE
69,,Lake,22.0,9.0,13.0,TENNESSEE
70,,Lauderdale,66.0,19.0,47.0,TENNESSEE
71,,Lawrence,100.0,55.0,45.0,TENNESSEE
72,,Lewis,16.0,15.0,1.0,TENNESSEE
73,,Lincoln,82.0,32.0,50.0,TENNESSEE
74,,Marshall,51.0,26.0,25.0,TENNESSEE
75,,McMinn,74.0,32.0,42.0,TENNESSEE
76,,McNairy,37.0,17.0,20.0,TENNESSEE
77,,Meigs,37.0,18.0,19.0,TENNESSEE
78,,Monroe,55.0,49.0,6.0,TENNESSEE
79,,Moore,34.0,14.0,20.0,TENNESSEE
80,,Obion,55.0,23.0,32.0,TENNESSEE
81,,Overton,57.0,24.0,33.0,TENNESSEE
82,,Perry,30.0,14.0,16.0,TENNESSEE
83,,Pickett,12.0,8.0,4.0,TENNESSEE
84,,Putnam,146.0,69.0,77.0,TENNESSEE
85,,Rhea,55.0,54.0,1.0,TENNESSEE
86,,Scott,66.0,29.0,37.0,TENNESSEE
87,,Sevier,214.0,106.0,108.0,TENNESSEE
88,,Stewart,51.0,20.0,31.0,TENNESSEE
89,,Van Buren,19.0,9.0,10.0,TENNESSEE
90,,Warren,96.0,49.0,47.0,TENNESSEE
91,,Wayne,49.0,14.0,35.0,TENNESSEE
92,,Weakley,44.0,21.0,23.0,TENNESSEE
93,,White,64.0,29.0,35.0,TENNESSEE
0,True,Canadian,104.0,61.0,43.0,OKLAHOMA
1,,Cleveland,160.0,58.0,102.0,OKLAHOMA
2,,Comanche,41.0,31.0,10.0,OKLAHOMA
3,,Cotton,12.0,6.0,6.0,OKLAHOMA
4,,Creek,98.0,37.0,61.0,OKLAHOMA
5,,Garfield,69.0,26.0,43.0,OKLAHOMA
6,,Grady,29.0,19.0,10.0,OKLAHOMA
7,,Le Flore,20.0,14.0,6.0,OKLAHOMA
8,,Lincoln,32.0,15.0,17.0,OKLAHOMA
9,,Logan,61.0,30.0,31.0,OKLAHOMA
10,,McClain,34.0,21.0,13.0,OKLAHOMA
11,,Oklahoma,642.0,463.0,179.0,OKLAHOMA
12,,Okmulgee,17.0,16.0,1.0,OKLAHOMA
13,,Osage,73.0,40.0,33.0,OKLAHOMA
14,,Pawnee,26.0,9.0,17.0,OKLAHOMA
15,,Rogers,80.0,53.0,27.0,OKLAHOMA
16,,Sequoyah,53.0,23.0,30.0,OKLAHOMA
17,,Tulsa,631.0,223.0,408.0,OKLAHOMA
18,,Wagoner,70.0,32.0,38.0,OKLAHOMA
19,False,Adair,9.0,9.0,0.0,OKLAHOMA
20,,Alfalfa,9.0,6.0,3.0,OKLAHOMA
21,,Atoka,23.0,8.0,15.0,OKLAHOMA
22,,Beaver,15.0,7.0,8.0,OKLAHOMA
23,,Beckham,40.0,14.0,26.0,OKLAHOMA
24,,Blaine,14.0,6.0,8.0,OKLAHOMA
25,,Bryan,17.0,15.0,2.0,OKLAHOMA
26,,Caddo,34.0,15.0,19.0,OKLAHOMA
27,,Carter,56.0,18.0,38.0,OKLAHOMA
28,,Cherokee,28.0,22.0,6.0,OKLAHOMA
29,,Choctaw,20.0,8.0,12.0,OKLAHOMA
30,,Cimarron,7.0,3.0,4.0,OKLAHOMA
31,,Coal,9.0,6.0,3.0,OKLAHOMA
32,,Craig,28.0,12.0,16.0,OKLAHOMA
33,,Custer,37.0,14.0,23.0,OKLAHOMA
34,,Delaware,43.0,17.0,26.0,OKLAHOMA
35,,Dewey,16.0,6.0,10.0,OKLAHOMA
36,,Ellis,18.0,8.0,10.0,OKLAHOMA
37,,Garvin,36.0,19.0,17.0,OKLAHOMA
38,,Grant,10.0,6.0,4.0,OKLAHOMA
39,,Greer,6.0,2.0,4.0,OKLAHOMA
40,,Harmon,4.0,3.0,1.0,OKLAHOMA
41,,Harper,8.0,5.0,3.0,OKLAHOMA
42,,Haskell,18.0,7.0,11.0,OKLAHOMA
43,,Hughes,7.0,6.0,1.0,OKLAHOMA
44,,Jackson,35.0,12.0,23.0,OKLAHOMA
45,,Jefferson,17.0,6.0,11.0,OKLAHOMA
46,,Johnston,24.0,7.0,17.0,OKLAHOMA
47,,Kay,24.0,16.0,8.0,OKLAHOMA
48,,Kingfisher,18.0,8.0,10.0,OKLAHOMA
49,,Kiowa,16.0,7.0,9.0,OKLAHOMA
50,,Latimer,13.0,6.0,7.0,OKLAHOMA
51,,Love,24.0,9.0,15.0,OKLAHOMA
52,,Major,13.0,5.0,8.0,OKLAHOMA
53,,Marshall,26.0,6.0,20.0,OKLAHOMA
54,,Mayes,54.0,28.0,26.0,OKLAHOMA
55,,McCurtain,21.0,16.0,5.0,OKLAHOMA
56,,McIntosh,43.0,15.0,28.0,OKLAHOMA
57,,Murray,13.0,6.0,7.0,OKLAHOMA
58,,Muskogee,99.0,34.0,65.0,OKLAHOMA
59,,Noble,24.0,9.0,15.0,OKLAHOMA
60,,Nowata,16.0,7.0,9.0,OKLAHOMA
61,,Okfuskee,16.0,6.0,10.0,OKLAHOMA
62,,Ottawa,36.0,15.0,21.0,OKLAHOMA
63,,Payne,91.0,36.0,55.0,OKLAHOMA
64,,Pittsburg,26.0,14.0,12.0,OKLAHOMA
65,,Pontotoc,41.0,18.0,23.0,OKLAHOMA
66,,Pottawatomie,29.0,25.0,4.0,OKLAHOMA
67,,Pushmataha,4.0,3.0,1.0,OKLAHOMA
68,,Roger Mills,13.0,8.0,5.0,OKLAHOMA
69,,Seminole,38.0,18.0,20.0,OKLAHOMA
70,,Stephens,36.0,21.0,15.0,OKLAHOMA
71,,Texas,35.0,12.0,23.0,OKLAHOMA
72,,Tillman,24.0,4.0,20.0,OKLAHOMA
73,,Washita,31.0,9.0,22.0,OKLAHOMA
74,,Woods,8.0,7.0,1.0,OKLAHOMA
75,,Woodward,37.0,12.0,25.0,OKLAHOMA
0,True,Butler,98.0,65.0,33.0,KANSAS
1,,Douglas,148.0,76.0,72.0,KANSAS
2,,Harvey,21.0,19.0,2.0,KANSAS
3,,Jackson,30.0,22.0,8.0,KANSAS
4,,Jefferson,37.0,23.0,14.0,KANSAS
5,,Johnson,598.0,448.0,150.0,KANSAS
6,,Kingman,21.0,8.0,13.0,KANSAS
7,,Leavenworth,85.0,64.0,21.0,KANSAS
8,,Linn,29.0,19.0,10.0,KANSAS
9,,Miami,48.0,26.0,22.0,KANSAS
10,,Osage,44.0,21.0,23.0,KANSAS
11,,Pottawatomie,41.0,29.0,12.0,KANSAS
12,,Riley County Police Department,193.0,107.0,86.0,KANSAS
13,,Wabaunsee,23.0,8.0,15.0,KANSAS
14,False,Allen,28.0,11.0,17.0,KANSAS
15,,Anderson,9.0,9.0,0.0,KANSAS
16,,Atchison,23.0,13.0,10.0,KANSAS
17,,Barber,10.0,4.0,6.0,KANSAS
18,,Barton,41.0,18.0,23.0,KANSAS
19,,Bourbon,11.0,10.0,1.0,KANSAS
20,,Brown,22.0,8.0,14.0,KANSAS
21,,Chase,9.0,5.0,4.0,KANSAS
22,,Cherokee,47.0,18.0,29.0,KANSAS
23,,Cheyenne,4.0,4.0,0.0,KANSAS
24,,Clark,10.0,5.0,5.0,KANSAS
25,,Clay,18.0,7.0,11.0,KANSAS
26,,Cloud,10.0,9.0,1.0,KANSAS
27,,Coffey,19.0,13.0,6.0,KANSAS
28,,Cowley,44.0,22.0,22.0,KANSAS
29,,Crawford,67.0,28.0,39.0,KANSAS
30,,Decatur,3.0,3.0,0.0,KANSAS
31,,Dickinson,31.0,18.0,13.0,KANSAS
32,,Edwards,10.0,6.0,4.0,KANSAS
33,,Elk,10.0,5.0,5.0,KANSAS
34,,Ellis,19.0,19.0,0.0,KANSAS
35,,Ellsworth,18.0,8.0,10.0,KANSAS
36,,Ford,38.0,23.0,15.0,KANSAS
37,,Franklin,33.0,29.0,4.0,KANSAS
38,,Geary,87.0,34.0,53.0,KANSAS
39,,Gove,5.0,4.0,1.0,KANSAS
40,,Grant,8.0,3.0,5.0,KANSAS
41,,Gray,18.0,12.0,6.0,KANSAS
42,,Greeley,7.0,3.0,4.0,KANSAS
